PC1,PC2
-3.07042160619425,-1.4076222022969769
0.6060874667735171,4.35128783071156
0.6630716880548975,4.377600390608322
0.6130631418049729,4.348097398756096
0.6630716880548975,4.377600390608322
0.6060874667735171,4.35128783071156
0.6630716880548975,4.377600390608322
0.6561714149870876,4.380700353261566
0.6699719613728728,4.37450042799075
-3.144853930890804,-3.075960437331288
-2.5714266259767875,-4.352225835782138
1.137829086362074,0.052746052164922626
1.4601052916417712,0.22019817773975023
1.9184059675794678,0.6513924826677675
0.8982967792297512,-0.06086990387511625
-2.911647370633363,-2.1504786003369536
-2.2429521646039294,-2.11705135682124
-2.754201374913117,-2.0926055103354138
-3.034769287300579,-2.2286335907910115
-2.5297006541961187,-2.156996651229525
-2.9854781712220078,-2.1489459185485136
-1.4403836392918823,-1.9315878095488668
-2.7443405037213564,-2.1943025558483784
-2.381090767650035,-2.1229565520024583
-2.3716012543097076,-2.1941892974619708
-2.603050955487182,-2.1193968205354654
-2.5345333795865943,-2.137727388121171
-2.3832493775321812,-2.173972318077623
-2.4188930473062245,-2.168861572444903
-1.7246202557461463,-2.276754193775537
-3.151653271295958,-2.630129479734368
-2.4511616726270735,-1.9356654202570258
-1.1975182870080756,0.23065769437613157
-2.757988407390016,-1.1028507615447003
-2.67132656626569,-1.0465557694089875
-2.2945936343207336,-0.813607316545589
-2.6165780796602838,-0.9091299799514583
-2.458617958647537,-0.8356714761325169
-2.642676359006209,-0.6967365092450966
-1.488347898196444,1.5296547990371745
-3.043474239663295,-1.3149062062452235
-2.847830439862982,-1.120819207390054
-2.5481830028830834,-0.8478626999413583
-2.6037195096023917,-1.1070033100455774
-2.5120775913853577,-0.9349790594326558
-2.3624228230943656,-0.6814450720522954
-1.4346555225323663,1.5244716823335334
-2.803605625119521,-1.3102033455958064
-2.69000565479691,-1.1889540895497337
-2.325630340797738,-0.796320589584942
-2.201201721564826,-0.6581746333260444
-2.8932420967533163,-1.1810385044942278
-2.5147352124420754,-0.7724978018994392
-2.6727321309359553,-1.246875530452161
